,Group,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
D1,DHP,21.651,52.473,136.404,194.638,170.329,892.677,2822.499,797.5,101.004,1685.326
D2,DHP,20.118,52.955,137.894,193.166,185.538,853.933,2641.306,920.482,103.08,1741.056
D3,DHP,20.402,52.303,102.92,191.183,156.023,774.53,3377.833,732.608,97.831,1334.873
D4,DHP,19.27,54.115,154.633,199.608,181.606,767.835,2399.052,922.519,104.213,2131.109
D5,DHP,19.453,52.368,130.129,176.98,157.149,648.283,2790.331,730.756,90,1765.443
D6,DHP,18.316,52.395,193.787,198.617,190.044,716.455,2935.698,778.199,152.431,1673.699
D7,DHP,34.952,49.705,172.761,263.289,170.775,1004.179,2891.925,1035.821,134.814,2523.036
D8,DHP,27.152,56.729,129.468,79.853,132.534,1122.36,2768.891,775.831,85.581,1739.362
D9,DHP,26.543,39.129,170.025,126.145,204.045,1700.238,3123.274,1058.123,125.54,2374.895
D10,DHP,25.143,42.104,153.785,143.033,158.377,1457.995,3729.151,881.421,113.31,1793.803
D11,DHP,16.941,42.751,182.407,208.473,203.182,1338.955,2730.103,938.052,122.689,2374.947
D12,DHP,22.366,46.319,201.884,204.435,210.57,1287.22,3368.131,996.601,147.097,2445.264
D13,DHP,14.761,42.587,139.05,29.929,185.798,1335.524,1103.799,760.766,121.901,2230.059
D14,DHP,21.058,49.275,195.576,202.576,216.191,906.659,2885.754,1083.272,136.481,2482.824
D15,DHP,29.76,48.524,208.521,178.926,262.406,1681.494,3254.125,1192.302,159.002,3043.215
D16,DHP,27.25,49.906,192.484,173.715,219.478,1346.46,3573.948,1104.036,166.224,2324.692
D17,DHP,26.814,49.457,155.032,178.231,176.688,1170.43,3988.973,972.466,132.439,2075.07
D18,DHP,23.053,47.793,171.148,184.902,189.717,1024.302,3835.913,998.753,125.324,2224.92
D19,DHP,33.814,49.518,157.594,181.895,154.769,979.104,3270.496,961.266,127.984,1858.086
D20,DHP,27.151,50.326,192.435,191.028,208.177,1112.932,2957.33,1097.593,139.535,2294.176
D21,DHP,24.329,51.494,174.168,220.304,187.362,955.821,2671.91,1000.122,123.782,2131.081
P1,PG,24.1,38.942,176.479,73.653,170.086,604.469,2904.021,725.621,109.296,1030.018
P2,PG,17.597,50.751,180.823,144.84,164.771,556.983,2916.837,697.143,136.07,1090.894
